ID_produit;userRef;stock;ean13;description;bullet_points;etat_produit;Prix_vente_mini;Prix_vente_conseil;Categorie;title;weight;Photo1;Photo2;Photo3;Photo4;Photo5;Photo6;supplier;taxRate;isPack;height;length;width;otherRef1;Mode_transport;Prix_achat;Prix_transport;otherRef5;otherRef6;otherRef7;otherRef8;otherRef9;otherRef10;otherRef11;otherRef14
;EAN3760237961044;0;3760237961044;;;;;;;BACHE 4X5 BLEU PR0837;;;;;;;;TECPLAST;2000;false;;;;OK;col;611;;;;;;;;;
;EAN3760237961204;0;3760237961204;;;;;;;BACHE ARME TRANSPARENTE 2X3 PR0818;;;;;;;;TECPLAST;2000;false;;;;OK;COL;427;1405;;;;;;;1;
;EAN3760237961211;0;3760237961211;;;;;;;BACHE ARMEE 4X3 PR0819;;;;;;;;TECPLAST;2000;false;;;;OK;COL;860;1166;;;;;;;1;
;EANSAC12X8;0;SAC12X8;;;;;;;SACHET 120X80 MM ZIP LOT X 100 PR0586;130;;;;;;;TECPLAST;2000;false;;;;;AMZS;88;358;;;;;;;;
;552;0;552;;;;;;;25 SACS POUBELLE 50LITRES FIN VOIR ID 16025521;;;;;;;;TECPLAST;2000;false;;;;;;8;;;;;;;;;
;PRO588;0;PRO588;;;;;;;SACHET ZIP 100X150 LOT DE 100;105;;;;;;;TECPLAST;2000;false;;;;;;144;;;;;;;;;
;PBAG04;0;PBAG04;;;;;;;SACHET ZIP 60X80 LOT DE 100;105;;;;;;;TECPLAST;2000;false;;;;;;54;;;;;;;;;
;EAN3760237961143;0;3760237961143;;;;;;;TECPLAST- BACHE SR150-4X5M VERT ET BLEUE-PR0829;2900;;;;;;;TECPLAST;2000;false;;;;;;1013;;;;;;;;;
;EAN3760237961105;0;3760237961105;;;;;;;BACHE 1.5X6 BLEU PR0834;;;;;;;;TECPLAST;2000;false;;;;OK;COL;251;;;;;;;;1;
;SAC4X6;0;SAC4X6;;;;;;;SACHET 4X6 PAR 100;;;;;;;;TECPLAST;2000;false;;;;OK;let;50;;;;;;;;;
